(10130699, [['lat', 'Latitude', 1, 40.8150748]])
(16581957, [['lat', 'Latitude', 4, 'None']])
(13687872, [['lat', 'Latitude', 1, 40.8342806]])
(2928617, [['lat', 'Latitude', 1, 40.7420886]])
(6755252, [['lat', 'Latitude', 1, 40.6091917]])
(20957439, [['lat', 'Latitude', 4, 'None']])
(2494487, [['lat', 'Latitude', 1, 40.6018167]])
(19423793, [['lat', 'Latitude', 4, 'None']])
(21351861, [['lat', 'Latitude', 4, 'None']])
(23508560, [['lat', 'Latitude', 1, 40.6602668]])
(4094420, [['lat', 'Latitude', 1, 40.7556569]])
(3841791, [['lat', 'Latitude', 1, 40.7219591]])
(10395273, [['lat', 'Latitude', 1, 40.7825566]])
(20798825, [['lat', 'Latitude', 1, 40.74617778435698]])
(9215189, [['lat', 'Latitude', 1, 40.5816291]])
(8985414, [['lat', 'Latitude', 1, 40.6907636]])
(7047002, [['lat', 'Latitude', 1, 40.709511]])
(928159, [['lat', 'Latitude', 1, 40.6538506]])
(6981000, [['lat', 'Latitude', 1, 40.7293104]])
(18745424, [['lat', 'Latitude', 4, 'None']])
(21582412, [['lat', 'Latitude', 4, 'None']])
(18636930, [['lat', 'Latitude', 4, 'None']])
(6575684, [['lat', 'Latitude', 1, 40.682836]])
(10284996, [['lat', 'Latitude', 1, 40.6930406]])
(7589084, [['lat', 'Latitude', 1, 40.7321677]])
(8361197, [['lat', 'Latitude', 1, 40.6010488]])
(2199008, [['lat', 'Latitude', 1, 40.8455107]])
(19898741, [['lat', 'Latitude', 1, 40.70856620944921]])
(2548214, [['lat', 'Latitude', 1, 40.7120455]])
(4988042, [['lat', 'Latitude', 1, 40.6912364]])
(11023745, [['lat', 'Latitude', 1, 40.7042792]])
(13080378, [['lat', 'Latitude', 1, 40.6746923]])
(3815994, [['lat', 'Latitude', 1, 40.7159536]])
(15686974, [['lat', 'Latitude', 4, 'None']])
(20112427, [['lat', 'Latitude', 1, 40.673380112575856]])
(18147334, [['lat', 'Latitude', 4, 'None']])
(18398791, [['lat', 'Latitude', 4, 'None']])
(21200583, [['lat', 'Latitude', 1, 40.5982576]])
(6363446, [['lat', 'Latitude', 1, 40.644521]])
(8088208, [['lat', 'Latitude', 1, 40.7077339]])
(6704440, [['lat', 'Latitude', 1, 40.7087193]])
(2751145, [['lat', 'Latitude', 1, 40.7617024]])
(11188653, [['lat', 'Latitude', 1, 40.8340298]])
(4797295, [['lat', 'Latitude', 1, 40.7494786]])
(9071977, [['lat', 'Latitude', 1, 40.625219]])
(12060962, [['lat', 'Latitude', 1, 40.7280681]])
(7867132, [['lat', 'Latitude', 1, 40.688597]])
(16701179, [['lat', 'Latitude', 4, 'None']])
(22628032, [['lat', 'Latitude', 1, 40.7295354]])
(1641433, [['lat', 'Latitude', 1, 40.7087874]])
(11488996, [['lat', 'Latitude', 1, 40.6320371]])
(6295541, [['lat', 'Latitude', 4, 'None']])
(5184607, [['lat', 'Latitude', 4, 'None']])
(7615364, [['lat', 'Latitude', 1, 40.6610526]])
(15651578, [['lat', 'Latitude', 4, 'None']])
(21191893, [['lat', 'Latitude', 1, 40.69437889026201]])
(21983283, [['lat', 'Latitude', 1, 40.7519508]])
(10373188, [['lat', 'Latitude', 1, 40.6831942]])
(16217737, [['lat', 'Latitude', 4, 'None']])
(23970098, [['lat', 'Latitude', 1, 40.7643941]])
(9115523, [['lat', 'Latitude', 1, 40.7717796]])
(14651725, [['lat', 'Latitude', 1, 40.63846491089927]])
(21081761, [['lat', 'Latitude', 4, 'None']])
(17937496, [['lat', 'Latitude', 4, 'None']])
(6689360, [['lat', 'Latitude', 1, 40.867001]])
(12498568, [['lat', 'Latitude', 1, 40.6634494]])
(14164755, [['lat', 'Latitude', 1, 40.8363493]])
(7763721, [['lat', 'Latitude', 1, 40.8324588]])
(1608450, [['lat', 'Latitude', 1, 40.7277464]])
(762782, [['lat', 'Latitude', 1, 40.819496]])
(14959484, [['lat', 'Latitude', 1, 40.857486799090886]])
(2836047, [['lat', 'Latitude', 1, 40.6750903]])
(18314413, [['lat', 'Latitude', 4, 'None']])
(14237236, [['lat', 'Latitude', 1, 40.7412777]])
(16224681, [['lat', 'Latitude', 4, 'None']])
(10134398, [['lat', 'Latitude', 1, 40.8343778]])
(757268, [['lat', 'Latitude', 1, 40.5841641]])
(4277584, [['lat', 'Latitude', 1, 40.8239325]])
(10729774, [['lat', 'Latitude', 1, 40.7392337]])
(20618488, [['lat', 'Latitude', 1, 40.73009934988612]])
(20098053, [['lat', 'Latitude', 1, 40.846946920225996]])
(20077262, [['lat', 'Latitude', 1, 40.823106550447285]])
(13693025, [['lat', 'Latitude', 1, 40.6059163]])
(14129205, [['lat', 'Latitude', 1, 40.7188982]])
(15776116, [['lat', 'Latitude', 4, 'None']])
(22325487, [['lat', 'Latitude', 1, 40.869122]])
(10857773, [['lat', 'Latitude', 4, 'None']])
(2325404, [['lat', 'Latitude', 1, 40.6717503]])
(20914160, [['lat', 'Latitude', 4, 'None']])
(13959731, [['lat', 'Latitude', 1, 40.8699977]])
(18072935, [['lat', 'Latitude', 4, 'None']])
(7895755, [['lat', 'Latitude', 4, 'None']])
(7627762, [['lat', 'Latitude', 1, 40.7377505]])
(20875278, [['lat', 'Latitude', 4, 'None']])
(21619893, [['lat', 'Latitude', 4, 'None']])
(9529704, [['lat', 'Latitude', 1, 40.6721001]])
(23575846, [['lat', 'Latitude', 1, 40.7305168]])
(3512632, [['lat', 'Latitude', 1, 40.8155362]])
(14730752, [['lat', 'Latitude', 1, 40.79473747012395]])
(19806011, [['lat', 'Latitude', 1, 40.63590878514884]])
