(1490677, [['long', 'Longitude', 1, -73.8089358]])
(4768746, [['long', 'Longitude', 1, -74.0269588]])
(15264263, [['long', 'Longitude', 1, -73.94260464288811]])
(14410795, [['long', 'Longitude', 1, -73.839918]])
(4922870, [['long', 'Longitude', 1, -73.968859]])
(2027285, [['long', 'Longitude', 1, -73.9718012]])
(11631, [['long', 'Longitude', 1, -73.8212946]])
(14455792, [['long', 'Longitude', 1, -73.9151298]])
(13400157, [['long', 'Longitude', 1, -73.9391654]])
(14629432, [['long', 'Longitude', 1, -73.9462887]])
(18124421, [['long', 'Longitude', 4, 'None']])
(18735912, [['long', 'Longitude', 4, 'None']])
(19205792, [['long', 'Longitude', 4, 'None']])
(23233741, [['long', 'Longitude', 4, 'None']])
(3308816, [['long', 'Longitude', 1, -73.8259851]])
(13752504, [['long', 'Longitude', 1, -73.8031242]])
(13945536, [['long', 'Longitude', 1, -73.9598842]])
(968427, [['long', 'Longitude', 1, -74.0269655]])
(7620870, [['long', 'Longitude', 1, -74.0015016]])
(4349918, [['long', 'Longitude', 1, -73.8767788]])
(17354122, [['long', 'Longitude', 4, 'None']])
(10572145, [['long', 'Longitude', 1, -73.9233528]])
(17366708, [['long', 'Longitude', 4, 'None']])
(11232498, [['long', 'Longitude', 1, -73.9513726]])
(23647942, [['long', 'Longitude', 1, -74.0876684]])
(24248856, [['long', 'Longitude', 1, -73.8526139]])
(23673847, [['long', 'Longitude', 1, -73.9477377]])
(8265761, [['long', 'Longitude', 1, -73.9500231]])
(22445324, [['long', 'Longitude', 1, -73.980363]])
(21215551, [['long', 'Longitude', 1, -73.8272149]])
(5007188, [['long', 'Longitude', 1, -73.9075679]])
(10920051, [['long', 'Longitude', 1, -73.9454784]])
(16673891, [['long', 'Longitude', 4, 'None']])
(20827028, [['long', 'Longitude', 1, -73.8019755108669]])
(22751974, [['long', 'Longitude', 1, -73.9684732]])
(11640392, [['long', 'Longitude', 1, -73.9073947]])
(24098096, [['long', 'Longitude', 1, -73.9903936]])
(14474448, [['long', 'Longitude', 1, -73.7659559]])
(23800644, [['long', 'Longitude', 1, -73.9857147]])
(8967448, [['long', 'Longitude', 1, -74.0096441]])
(21748142, [['long', 'Longitude', 1, -73.8153577]])
(21787348, [['long', 'Longitude', 1, -73.8518966]])
(19433042, [['long', 'Longitude', 4, 'None']])
(10109215, [['long', 'Longitude', 1, -73.8950968]])
(24168809, [['long', 'Longitude', 1, -73.9977191]])
(9531728, [['long', 'Longitude', 1, -73.864501]])
(2149650, [['long', 'Longitude', 1, -73.9264383]])
(10201709, [['long', 'Longitude', 1, -73.8916695]])
(12009029, [['long', 'Longitude', 1, -74.1862967]])
(10577454, [['long', 'Longitude', 1, -73.9906769]])
(9626333, [['long', 'Longitude', 1, -73.9641626]])
(16933380, [['long', 'Longitude', 4, 'None']])
(6168635, [['long', 'Longitude', 4, 'None']])
(22778016, [['long', 'Longitude', 4, 'None']])
(11956872, [['long', 'Longitude', 1, -73.8953132]])
(13848323, [['long', 'Longitude', 1, -73.8665438]])
(1249657, [['long', 'Longitude', 1, -73.9275589]])
(8298790, [['long', 'Longitude', 1, -73.9392063]])
(941404, [['long', 'Longitude', 4, 'None']])
(19775620, [['long', 'Longitude', 1, -73.89466946431835]])
(24141550, [['long', 'Longitude', 4, 'None']])
(19601214, [['long', 'Longitude', 1, -73.74651137337746]])
(3174240, [['long', 'Longitude', 1, -73.8490584]])
(20678549, [['long', 'Longitude', 4, 'None']])
(14126257, [['long', 'Longitude', 1, -73.9726524]])
(14679387, [['long', 'Longitude', 1, -73.9529042]])
(153137, [['long', 'Longitude', 1, -74.1982814]])
(15226040, [['long', 'Longitude', 1, -73.93922642952565]])
(11548934, [['long', 'Longitude', 1, -73.947875]])
(567513, [['long', 'Longitude', 1, -73.8994052]])
(13642643, [['long', 'Longitude', 1, -73.9562916]])
(824498, [['long', 'Longitude', 1, -73.8715775]])
(21934830, [['long', 'Longitude', 1, -73.8720965]])
(14783666, [['long', 'Longitude', 1, -73.85519329050533]])
(17024208, [['long', 'Longitude', 4, 'None']])
(6436757, [['long', 'Longitude', 1, -73.9804352]])
(9140783, [['long', 'Longitude', 1, -73.8982238]])
(10090645, [['long', 'Longitude', 1, -73.8733492]])
(21276718, [['long', 'Longitude', 1, -73.8056533]])
(14748691, [['long', 'Longitude', 1, -73.9438173]])
(13380681, [['long', 'Longitude', 1, -73.9350382]])
(10923899, [['long', 'Longitude', 1, -73.9675563]])
(17019270, [['long', 'Longitude', 4, 'None']])
(7640643, [['long', 'Longitude', 1, -73.9258269]])
(9289494, [['long', 'Longitude', 1, -74.0998079]])
(4676093, [['long', 'Longitude', 1, -73.9553057]])
(9860782, [['long', 'Longitude', 1, -73.8769991]])
(16659849, [['long', 'Longitude', 4, 'None']])
(16061447, [['long', 'Longitude', 4, 'None']])
(21527711, [['long', 'Longitude', 1, -73.9440316]])
(6020090, [['long', 'Longitude', 1, -73.8898752]])
(23486744, [['long', 'Longitude', 1, -73.9021614]])
(5157649, [['long', 'Longitude', 1, -73.8949664]])
(10964015, [['long', 'Longitude', 1, -73.8540906]])
(22123450, [['long', 'Longitude', 1, -73.8972922]])
(4118653, [['long', 'Longitude', 1, -73.9345303]])
(9298674, [['long', 'Longitude', 1, -73.869939]])
(5227764, [['long', 'Longitude', 1, -73.8834532]])
(14628954, [['long', 'Longitude', 1, -73.9783996]])
(13265247, [['long', 'Longitude', 1, -73.8532935]])
