(1106470, [['lat', 'GIS_LATITUDE', 1, 40.836725]])
(950667, [['lat', 'GIS_LATITUDE', 1, 40.826076]])
(47814, [['lat', 'GIS_LATITUDE', 1, 40.743522]])
(438159, [['lat', 'GIS_LATITUDE', 1, 40.700187]])
(1291688, [['lat', 'GIS_LATITUDE', 1, 40.757117]])
(230359, [['lat', 'GIS_LATITUDE', 1, 40.818188]])
(933951, [['lat', 'GIS_LATITUDE', 1, 40.857427]])
(454454, [['lat', 'GIS_LATITUDE', 1, 40.768586]])
(951944, [['lat', 'GIS_LATITUDE', 1, 40.706856]])
(413507, [['lat', 'GIS_LATITUDE', 1, 40.765366]])
(1660018, [['lat', 'GIS_LATITUDE', 1, 40.645246]])
(481567, [['lat', 'GIS_LATITUDE', 1, 40.702196]])
(435861, [['lat', 'GIS_LATITUDE', 1, 40.794987]])
(1671147, [['lat', 'GIS_LATITUDE', 1, 40.683683]])
(415319, [['lat', 'GIS_LATITUDE', 1, 40.824857]])
(1436433, [['lat', 'GIS_LATITUDE', 1, 40.773982]])
(1128582, [['lat', 'GIS_LATITUDE', 1, 40.74869]])
(145686, [['lat', 'GIS_LATITUDE', 1, 40.67376]])
(1195777, [['lat', 'GIS_LATITUDE', 1, 40.766421]])
(1282187, [['lat', 'GIS_LATITUDE', 1, 40.752692]])
(752435, [['lat', 'GIS_LATITUDE', 1, 40.732967]])
(642004, [['lat', 'GIS_LATITUDE', 1, 40.792101]])
(1582656, [['lat', 'GIS_LATITUDE', 1, 40.770247]])
(1451776, [['lat', 'GIS_LATITUDE', 1, 40.758149]])
(415969, [['lat', 'GIS_LATITUDE', 1, 40.573998]])
(1445073, [['lat', 'GIS_LATITUDE', 1, 40.81312]])
(344436, [['lat', 'GIS_LATITUDE', 1, 40.767769]])
(150301, [['lat', 'GIS_LATITUDE', 1, 40.703149]])
(934823, [['lat', 'GIS_LATITUDE', 1, 40.729495]])
(1425497, [['lat', 'GIS_LATITUDE', 1, 40.788567]])
(1185901, [['lat', 'GIS_LATITUDE', 1, 40.691713]])
(642485, [['lat', 'GIS_LATITUDE', 1, 40.767296]])
(1201996, [['lat', 'GIS_LATITUDE', 1, 40.900894]])
(1714937, [['lat', 'GIS_LATITUDE', 1, 40.693666]])
(1718332, [['lat', 'GIS_LATITUDE', 1, 40.765826]])
(230901, [['lat', 'GIS_LATITUDE', 1, 40.686798]])
(1537011, [['lat', 'GIS_LATITUDE', 1, 40.793705]])
(479653, [['lat', 'GIS_LATITUDE', 1, 40.657704]])
(1570183, [['lat', 'GIS_LATITUDE', 1, 40.762758]])
(603763, [['lat', 'GIS_LATITUDE', 1, 40.767006]])
(449531, [['lat', 'GIS_LATITUDE', 1, 40.880817]])
(1336763, [['lat', 'GIS_LATITUDE', 1, 40.714445]])
(888959, [['lat', 'GIS_LATITUDE', 1, 40.740909]])
(766754, [['lat', 'GIS_LATITUDE', 1, 40.750809]])
(826404, [['lat', 'GIS_LATITUDE', 1, 40.843752]])
(527049, [['lat', 'GIS_LATITUDE', 1, 40.72469]])
(275476, [['lat', 'GIS_LATITUDE', 1, 40.610256]])
(166215, [['lat', 'GIS_LATITUDE', 1, 40.606972]])
(1140287, [['lat', 'GIS_LATITUDE', 1, 40.710658]])
(549518, [['lat', 'GIS_LATITUDE', 1, 40.699887]])
(1036691, [['lat', 'GIS_LATITUDE', 1, 40.588501]])
(561455, [['lat', 'GIS_LATITUDE', 1, 40.758816]])
(963950, [['lat', 'GIS_LATITUDE', 1, 40.673531]])
(832753, [['lat', 'GIS_LATITUDE', 1, 40.637206]])
(1602295, [['lat', 'GIS_LATITUDE', 1, 40.760358]])
(90070, [['lat', 'GIS_LATITUDE', 1, 40.776679]])
(1468142, [['lat', 'GIS_LATITUDE', 1, 40.715803]])
(133447, [['lat', 'GIS_LATITUDE', 1, 40.635086]])
(586542, [['lat', 'GIS_LATITUDE', 1, 40.84337]])
(1741990, [['lat', 'GIS_LATITUDE', 1, 40.657159]])
(1633187, [['lat', 'GIS_LATITUDE', 1, 40.832483]])
(525977, [['lat', 'GIS_LATITUDE', 1, 40.661835]])
(900633, [['lat', 'GIS_LATITUDE', 1, 40.80132]])
(113601, [['lat', 'GIS_LATITUDE', 1, 40.644726]])
(571215, [['lat', 'GIS_LATITUDE', 1, 40.656008]])
(156851, [['lat', 'GIS_LATITUDE', 1, 40.63817]])
(1294459, [['lat', 'GIS_LATITUDE', 1, 40.880611]])
(903292, [['lat', 'GIS_LATITUDE', 1, 40.684515]])
(96286, [['lat', 'GIS_LATITUDE', 1, 40.722919]])
(1556036, [['lat', 'GIS_LATITUDE', 1, 40.773279]])
(1537591, [['lat', 'GIS_LATITUDE', 1, 40.762631]])
(1281216, [['lat', 'GIS_LATITUDE', 1, 40.737171]])
(737260, [['lat', 'GIS_LATITUDE', 1, 40.757353]])
(1731115, [['lat', 'GIS_LATITUDE', 1, 40.838715]])
(1025316, [['lat', 'GIS_LATITUDE', 1, 40.874729]])
