(1616648, [['long', 'GIS_LONGITUDE', 1, -73.973924]])
(792805, [['long', 'GIS_LONGITUDE', 1, -73.977761]])
(488266, [['long', 'GIS_LONGITUDE', 1, -73.787326]])
(1068615, [['long', 'GIS_LONGITUDE', 1, -74.00153]])
(994488, [['long', 'GIS_LONGITUDE', 1, -73.969758]])
(1393721, [['long', 'GIS_LONGITUDE', 1, -73.994061]])
(794494, [['long', 'GIS_LONGITUDE', 1, -73.972027]])
(89417, [['long', 'GIS_LONGITUDE', 1, -73.755552]])
(669066, [['long', 'GIS_LONGITUDE', 1, -73.985334]])
(1343517, [['long', 'GIS_LONGITUDE', 1, -74.015493]])
(1228252, [['long', 'GIS_LONGITUDE', 1, -74.005253]])
(1647748, [['long', 'GIS_LONGITUDE', 1, -73.85103]])
(1205050, [['long', 'GIS_LONGITUDE', 1, -74.102501]])
(1311153, [['long', 'GIS_LONGITUDE', 1, -73.935885]])
(610373, [['long', 'GIS_LONGITUDE', 1, -73.987093]])
(572824, [['long', 'GIS_LONGITUDE', 1, -73.823724]])
(582193, [['long', 'GIS_LONGITUDE', 1, -74.080221]])
(965263, [['long', 'GIS_LONGITUDE', 1, -73.9438]])
(148903, [['long', 'GIS_LONGITUDE', 1, -73.893048]])
(1248044, [['long', 'GIS_LONGITUDE', 1, -73.984532]])
(32836, [['long', 'GIS_LONGITUDE', 1, -73.830423]])
(651681, [['long', 'GIS_LONGITUDE', 1, -73.779113]])
(158125, [['long', 'GIS_LONGITUDE', 1, -73.971651]])
(1308045, [['long', 'GIS_LONGITUDE', 1, -73.97846]])
(1282299, [['long', 'GIS_LONGITUDE', 1, -73.992748]])
(1196202, [['long', 'GIS_LONGITUDE', 1, -73.98838]])
(119920, [['long', 'GIS_LONGITUDE', 1, -73.970321]])
(1006813, [['long', 'GIS_LONGITUDE', 1, -74.002724]])
(465123, [['long', 'GIS_LONGITUDE', 1, -73.960715]])
(730528, [['long', 'GIS_LONGITUDE', 1, -74.162522]])
(281725, [['long', 'GIS_LONGITUDE', 1, -73.99541]])
(1236597, [['long', 'GIS_LONGITUDE', 1, -73.975783]])
(611276, [['long', 'GIS_LONGITUDE', 1, -73.950326]])
(1015562, [['long', 'GIS_LONGITUDE', 1, -73.884262]])
(432640, [['long', 'GIS_LONGITUDE', 1, -73.992592]])
(788958, [['long', 'GIS_LONGITUDE', 1, -73.994494]])
(897003, [['long', 'GIS_LONGITUDE', 1, -74.014246]])
(1539874, [['long', 'GIS_LONGITUDE', 1, -73.992568]])
(1696276, [['long', 'GIS_LONGITUDE', 1, -73.937544]])
(232349, [['long', 'GIS_LONGITUDE', 1, -74.135818]])
(1105259, [['long', 'GIS_LONGITUDE', 1, -73.99557]])
(436653, [['long', 'GIS_LONGITUDE', 1, -74.004103]])
(1146352, [['long', 'GIS_LONGITUDE', 1, -73.932733]])
(16254, [['long', 'GIS_LONGITUDE', 1, -73.953628]])
(171854, [['long', 'GIS_LONGITUDE', 1, -73.948024]])
(448696, [['long', 'GIS_LONGITUDE', 1, -73.751619]])
(306287, [['long', 'GIS_LONGITUDE', 1, -73.805116]])
(224774, [['long', 'GIS_LONGITUDE', 1, -74.009297]])
(1319914, [['long', 'GIS_LONGITUDE', 1, -74.012654]])
(1081461, [['long', 'GIS_LONGITUDE', 1, -73.979267]])
(790814, [['long', 'GIS_LONGITUDE', 1, -73.953081]])
(1169517, [['long', 'GIS_LONGITUDE', 1, -73.926019]])
(110390, [['long', 'GIS_LONGITUDE', 1, -73.987449]])
(1646503, [['long', 'GIS_LONGITUDE', 1, -73.897976]])
(1605756, [['long', 'GIS_LONGITUDE', 1, -73.964591]])
(1124094, [['long', 'GIS_LONGITUDE', 1, -73.965629]])
(1281362, [['long', 'GIS_LONGITUDE', 1, -73.979906]])
(1303492, [['long', 'GIS_LONGITUDE', 1, -73.892627]])
(84139, [['long', 'GIS_LONGITUDE', 1, -73.933509]])
(403325, [['long', 'GIS_LONGITUDE', 1, -73.761967]])
(198571, [['long', 'GIS_LONGITUDE', 1, -73.852987]])
(1422488, [['long', 'GIS_LONGITUDE', 1, -73.994858]])
(583342, [['long', 'GIS_LONGITUDE', 1, -74.245246]])
(551273, [['long', 'GIS_LONGITUDE', 1, -73.83258]])
(1642898, [['long', 'GIS_LONGITUDE', 1, -73.891611]])
(794605, [['long', 'GIS_LONGITUDE', 1, -73.909207]])
(1041388, [['long', 'GIS_LONGITUDE', 1, -73.972374]])
(202290, [['long', 'GIS_LONGITUDE', 1, -73.931799]])
(110040, [['long', 'GIS_LONGITUDE', 1, -73.956226]])
(1616548, [['long', 'GIS_LONGITUDE', 1, -74.003521]])
(1463315, [['long', 'GIS_LONGITUDE', 1, -73.96622]])
(1492076, [['long', 'GIS_LONGITUDE', 1, -73.975352]])
(1014516, [['long', 'GIS_LONGITUDE', 1, -73.962316]])
(1215001, [['long', 'GIS_LONGITUDE', 1, -73.963807]])
(543938, [['long', 'GIS_LONGITUDE', 1, -73.946092]])
(1490037, [['long', 'GIS_LONGITUDE', 1, -74.009936]])
(98889, [['long', 'GIS_LONGITUDE', 1, -73.992571]])
(1360644, [['long', 'GIS_LONGITUDE', 1, -74.000112]])
(1208898, [['long', 'GIS_LONGITUDE', 1, -73.941815]])
(362155, [['long', 'GIS_LONGITUDE', 1, -73.795184]])
(1629211, [['long', 'GIS_LONGITUDE', 1, -73.865874]])
(773671, [['long', 'GIS_LONGITUDE', 1, -73.939946]])
(157529, [['long', 'GIS_LONGITUDE', 1, -73.825681]])
(1373443, [['long', 'GIS_LONGITUDE', 1, -73.986957]])
(683130, [['long', 'GIS_LONGITUDE', 1, -73.777587]])
(863004, [['long', 'GIS_LONGITUDE', 1, -73.965905]])
(70929, [['long', 'GIS_LONGITUDE', 1, -73.881661]])
(632668, [['long', 'GIS_LONGITUDE', 1, -73.88491]])
(750068, [['long', 'GIS_LONGITUDE', 1, -74.002796]])
(1042070, [['long', 'GIS_LONGITUDE', 1, -73.740196]])
(1435272, [['long', 'GIS_LONGITUDE', 1, -73.970393]])
(130513, [['long', 'GIS_LONGITUDE', 1, -73.995886]])
(381746, [['long', 'GIS_LONGITUDE', 1, -74.101128]])
(1686367, [['long', 'GIS_LONGITUDE', 1, -73.946621]])
(1109101, [['long', 'GIS_LONGITUDE', 1, -74.007906]])
(1114578, [['long', 'GIS_LONGITUDE', 1, -73.992461]])
(1172155, [['long', 'GIS_LONGITUDE', 1, -73.983962]])
(1573033, [['long', 'GIS_LONGITUDE', 1, -74.001162]])
(890624, [['long', 'GIS_LONGITUDE', 1, -74.003883]])
(1353131, [['long', 'GIS_LONGITUDE', 1, -73.947577]])
