(3668494, [['lat', 'LATITUDE', 1, 40.718595]])
(3352110, [['lat', 'LATITUDE', 1, 40.72487]])
(1440623, [['lat', 'LATITUDE', 1, 40.761897]])
(3411047, [['lat', 'LATITUDE', 1, 40.66804]])
(876623, [['lat', 'LATITUDE', 1, 40.754056]])
(1918181, [['lat', 'LATITUDE', 1, 40.763016]])
(2921356, [['lat', 'LATITUDE', 1, 40.841253]])
(2486258, [['lat', 'LATITUDE', 1, 40.753816]])
(2073007, [['lat', 'LATITUDE', 1, 40.825309]])
(3375183, [['lat', 'LATITUDE', 1, 40.551615]])
(2430426, [['lat', 'LATITUDE', 1, 40.722635]])
(2869488, [['lat', 'LATITUDE', 1, 40.775008]])
(2374538, [['lat', 'LATITUDE', 1, 40.7264]])
(559016, [['lat', 'LATITUDE', 1, 40.786373]])
(834170, [['lat', 'LATITUDE', 1, 40.671122]])
(1713509, [['lat', 'LATITUDE', 1, 40.557264]])
(1354992, [['lat', 'LATITUDE', 1, 40.625292]])
(1793114, [['lat', 'LATITUDE', 1, 40.721524]])
(2974207, [['lat', 'LATITUDE', 1, 40.757816]])
(1290028, [['lat', 'LATITUDE', 1, 40.735602]])
(305435, [['lat', 'LATITUDE', 1, 40.622915]])
(378656, [['lat', 'LATITUDE', 1, 40.751195]])
(553437, [['lat', 'LATITUDE', 1, 40.750602]])
(1151626, [['lat', 'LATITUDE', 1, 40.612645]])
(1151453, [['lat', 'LATITUDE', 1, 40.764646]])
(3253153, [['lat', 'LATITUDE', 1, 40.639957]])
(1905002, [['lat', 'LATITUDE', 1, 40.767743]])
(3268511, [['lat', 'LATITUDE', 1, 40.688643]])
(720830, [['lat', 'LATITUDE', 1, 40.824154]])
(1810495, [['lat', 'LATITUDE', 1, 40.71722]])
(262518, [['lat', 'LATITUDE', 1, 40.717217]])
(298808, [['lat', 'LATITUDE', 1, 40.880083]])
(1886256, [['lat', 'LATITUDE', 1, 40.753619]])
(3450797, [['lat', 'LATITUDE', 1, 40.846032]])
(3195774, [['lat', 'LATITUDE', 1, 40.706331]])
(74823, [['lat', 'LATITUDE', 1, 40.758828]])
(2535401, [['lat', 'LATITUDE', 1, 40.778298]])
(1478683, [['lat', 'LATITUDE', 1, 40.666434]])
(144617, [['lat', 'LATITUDE', 1, 40.741034]])
(3088165, [['lat', 'LATITUDE', 1, 40.716097]])
(1467126, [['lat', 'LATITUDE', 1, 40.702373]])
(521493, [['lat', 'LATITUDE', 1, 40.585447]])
(2758971, [['lat', 'LATITUDE', 1, 40.838298]])
(3180898, [['lat', 'LATITUDE', 1, 40.742227]])
(2927346, [['lat', 'LATITUDE', 1, 40.59396]])
(1654045, [['lat', 'LATITUDE', 4, 'None']])
(651873, [['lat', 'LATITUDE', 1, 40.708362]])
(2569912, [['lat', 'LATITUDE', 1, 40.784709]])
(2914144, [['lat', 'LATITUDE', 1, 40.754927]])
(2208085, [['lat', 'LATITUDE', 1, 40.627657]])
(3549003, [['lat', 'LATITUDE', 1, 40.779774]])
(3362181, [['lat', 'LATITUDE', 1, 40.745216]])
(3352553, [['lat', 'LATITUDE', 1, 40.698724]])
(2552453, [['lat', 'LATITUDE', 1, 40.750432]])
(2803327, [['lat', 'LATITUDE', 1, 40.784976]])
(1944898, [['lat', 'LATITUDE', 1, 40.61375]])
(2265797, [['lat', 'LATITUDE', 1, 40.868887]])
(1734070, [['lat', 'LATITUDE', 1, 40.756802]])
(512894, [['lat', 'LATITUDE', 1, 40.710105]])
(1528227, [['lat', 'LATITUDE', 1, 40.749222]])
(806420, [['lat', 'LATITUDE', 1, 40.59244]])
(3451258, [['lat', 'LATITUDE', 1, 40.796351]])
(128516, [['lat', 'LATITUDE', 1, 40.749581]])
(305145, [['lat', 'LATITUDE', 1, 40.60179]])
(1220687, [['lat', 'LATITUDE', 1, 40.748682]])
(1485247, [['lat', 'LATITUDE', 1, 40.637292]])
(3600760, [['lat', 'LATITUDE', 1, 40.724647]])
(1383815, [['lat', 'LATITUDE', 1, 40.858572]])
(2675753, [['lat', 'LATITUDE', 1, 40.719662]])
(2227474, [['lat', 'LATITUDE', 1, 40.815363]])
(282046, [['lat', 'LATITUDE', 1, 40.744962]])
(1468188, [['lat', 'LATITUDE', 1, 40.751862]])
(438619, [['lat', 'LATITUDE', 1, 40.778567]])
(150129, [['lat', 'LATITUDE', 1, 40.782107]])
(1191942, [['lat', 'LATITUDE', 1, 40.782941]])
(1476388, [['lat', 'LATITUDE', 1, 40.680554]])
(1284611, [['lat', 'LATITUDE', 1, 40.743191]])
(1522356, [['lat', 'LATITUDE', 1, 40.901375]])
(368326, [['lat', 'LATITUDE', 1, 40.593189]])
(2959826, [['lat', 'LATITUDE', 1, 40.663414]])
(3256478, [['lat', 'LATITUDE', 1, 40.648186]])
(671771, [['lat', 'LATITUDE', 1, 40.625466]])
(644052, [['lat', 'LATITUDE', 1, 40.78897]])
(2177434, [['lat', 'LATITUDE', 1, 40.731272]])
(207354, [['lat', 'LATITUDE', 1, 40.635083]])
(523236, [['lat', 'LATITUDE', 1, 40.655314]])
(222537, [['lat', 'LATITUDE', 1, 40.598119]])
(17550, [['lat', 'LATITUDE', 1, 40.710473]])
(3296451, [['lat', 'LATITUDE', 1, 40.827544]])
(3023887, [['lat', 'LATITUDE', 1, 40.752832]])
(1428998, [['lat', 'LATITUDE', 1, 40.676638]])
(2220214, [['lat', 'LATITUDE', 1, 40.639076]])
(155909, [['lat', 'LATITUDE', 1, 40.779596]])
(2758161, [['lat', 'LATITUDE', 1, 40.725637]])
(824678, [['lat', 'LATITUDE', 1, 40.720854]])
(1022949, [['lat', 'LATITUDE', 1, 40.74598]])
(209094, [['lat', 'LATITUDE', 1, 40.691207]])
(1863049, [['lat', 'LATITUDE', 1, 40.764151]])
(2068028, [['lat', 'LATITUDE', 1, 40.859108]])
