(1834664, [['long', 'LONGITUDE', 1, -73.988091]])
(3705849, [['long', 'LONGITUDE', 1, -74.096163]])
(728082, [['long', 'LONGITUDE', 1, -73.815113]])
(1043271, [['long', 'LONGITUDE', 1, -73.862313]])
(557154, [['long', 'LONGITUDE', 1, -73.908886]])
(3018749, [['long', 'LONGITUDE', 1, -73.830238]])
(1613439, [['long', 'LONGITUDE', 1, -73.946659]])
(2762103, [['long', 'LONGITUDE', 1, -73.955192]])
(3698780, [['long', 'LONGITUDE', 1, -73.958579]])
(2660005, [['long', 'LONGITUDE', 1, -73.955314]])
(1033627, [['long', 'LONGITUDE', 1, -73.777039]])
(3055629, [['long', 'LONGITUDE', 1, -73.924562]])
(3105132, [['long', 'LONGITUDE', 1, -73.933816]])
(3053251, [['long', 'LONGITUDE', 1, -73.998401]])
(2957467, [['long', 'LONGITUDE', 1, -73.973122]])
(1446219, [['long', 'LONGITUDE', 1, -73.743724]])
(943268, [['long', 'LONGITUDE', 1, -73.966595]])
(3452170, [['long', 'LONGITUDE', 1, -73.858568]])
(1623000, [['long', 'LONGITUDE', 1, -73.911246]])
(1518300, [['long', 'LONGITUDE', 1, -73.903062]])
(1533260, [['long', 'LONGITUDE', 1, -73.749366]])
(2914813, [['long', 'LONGITUDE', 1, -73.983439]])
(357612, [['long', 'LONGITUDE', 1, -73.991505]])
(2115815, [['long', 'LONGITUDE', 1, -73.930528]])
(916623, [['long', 'LONGITUDE', 1, -73.976557]])
(2150027, [['long', 'LONGITUDE', 1, -74.00258]])
(895864, [['long', 'LONGITUDE', 1, -73.890813]])
(1936915, [['long', 'LONGITUDE', 1, -73.920465]])
(1894750, [['long', 'LONGITUDE', 1, -73.813995]])
(62164, [['long', 'LONGITUDE', 1, -73.966999]])
(3700053, [['long', 'LONGITUDE', 1, -74.004857]])
(1301138, [['long', 'LONGITUDE', 1, -73.948924]])
(3189156, [['long', 'LONGITUDE', 1, -73.984615]])
(3428753, [['long', 'LONGITUDE', 1, -73.93065]])
(2928775, [['long', 'LONGITUDE', 1, -74.16339]])
(155848, [['long', 'LONGITUDE', 1, -73.894096]])
(3260077, [['long', 'LONGITUDE', 1, -73.947364]])
(1991738, [['long', 'LONGITUDE', 1, -73.758404]])
(1163520, [['long', 'LONGITUDE', 1, -73.899513]])
(2936204, [['long', 'LONGITUDE', 1, -73.978806]])
(91504, [['long', 'LONGITUDE', 1, -73.901955]])
(3609265, [['long', 'LONGITUDE', 1, -73.821387]])
(229710, [['long', 'LONGITUDE', 1, -73.970128]])
(2907753, [['long', 'LONGITUDE', 1, -73.853306]])
(592819, [['long', 'LONGITUDE', 1, -73.873002]])
(1266255, [['long', 'LONGITUDE', 1, -73.976557]])
(2475062, [['long', 'LONGITUDE', 1, -73.960323]])
(513121, [['long', 'LONGITUDE', 1, -73.979867]])
(1448918, [['long', 'LONGITUDE', 1, -73.878563]])
(2146983, [['long', 'LONGITUDE', 1, -73.892166]])
(2488746, [['long', 'LONGITUDE', 1, -73.795547]])
(301898, [['long', 'LONGITUDE', 1, -74.023073]])
(652043, [['long', 'LONGITUDE', 1, -74.087366]])
(3616275, [['long', 'LONGITUDE', 1, -73.94205]])
(1196233, [['long', 'LONGITUDE', 1, -74.000296]])
(602073, [['long', 'LONGITUDE', 1, -74.008939]])
(1652341, [['long', 'LONGITUDE', 1, -73.983516]])
(788883, [['long', 'LONGITUDE', 1, -73.98987]])
(1610678, [['long', 'LONGITUDE', 1, -73.798145]])
(1753593, [['long', 'LONGITUDE', 1, -73.911909]])
(3032024, [['long', 'LONGITUDE', 1, -73.926891]])
(2074421, [['long', 'LONGITUDE', 1, -73.988606]])
(495331, [['long', 'LONGITUDE', 1, -73.872266]])
(2153964, [['long', 'LONGITUDE', 1, -73.922165]])
(2828625, [['long', 'LONGITUDE', 1, -73.767792]])
(1135878, [['long', 'LONGITUDE', 1, -73.917668]])
(733358, [['long', 'LONGITUDE', 1, -73.917928]])
(2932754, [['long', 'LONGITUDE', 1, -73.854424]])
(3693875, [['long', 'LONGITUDE', 1, -73.920607]])
(1957738, [['long', 'LONGITUDE', 1, -73.985885]])
(3588861, [['long', 'LONGITUDE', 1, -73.920976]])
(3412418, [['long', 'LONGITUDE', 1, -73.956918]])
(2359439, [['long', 'LONGITUDE', 1, -73.906105]])
(2939281, [['long', 'LONGITUDE', 1, -73.839409]])
(1991705, [['long', 'LONGITUDE', 1, -73.778965]])
(2808286, [['long', 'LONGITUDE', 1, -74.187124]])
(539815, [['long', 'LONGITUDE', 1, -73.975352]])
(1450078, [['long', 'LONGITUDE', 1, -73.81622]])
(2937745, [['long', 'LONGITUDE', 1, -73.903223]])
(596797, [['long', 'LONGITUDE', 1, -73.992217]])
(2869072, [['long', 'LONGITUDE', 1, -74.196033]])
(745147, [['long', 'LONGITUDE', 1, -73.964599]])
(531552, [['long', 'LONGITUDE', 1, -73.969508]])
(3540738, [['long', 'LONGITUDE', 1, -73.995593]])
(3133979, [['long', 'LONGITUDE', 1, -73.941396]])
(3144375, [['long', 'LONGITUDE', 1, -73.971747]])
(130930, [['long', 'LONGITUDE', 1, -73.855832]])
(924448, [['long', 'LONGITUDE', 1, -73.983124]])
(3132116, [['long', 'LONGITUDE', 1, -73.931418]])
(430350, [['long', 'LONGITUDE', 1, -73.895176]])
(797786, [['long', 'LONGITUDE', 1, -73.861958]])
(2418909, [['long', 'LONGITUDE', 1, -73.972361]])
(1563890, [['long', 'LONGITUDE', 1, -74.001783]])
(67502, [['long', 'LONGITUDE', 1, -73.957129]])
(451695, [['long', 'LONGITUDE', 1, -73.817966]])
(2442739, [['long', 'LONGITUDE', 1, -73.914158]])
(444838, [['long', 'LONGITUDE', 1, -73.939899]])
(3191959, [['long', 'LONGITUDE', 1, -73.906201]])
(1841070, [['long', 'LONGITUDE', 1, -73.995424]])
(2920561, [['long', 'LONGITUDE', 1, -73.982125]])
